clinchIndicator,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Wins,losses,otLosses,placeName,pointPctg,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamCommonName,teamAbbrev,wildcardSequence,winPctg,wins,team_name,end_season_points
,66,14,0.212121,199,213,3.227273,32,22,82,104,10,2,42,17,15,20,10,-12,45,33,6,1,7,3,2,3,24,7,Vegas,0.583333,0.469697,31,0.409091,27,34,-8,117,109,14,5,35,14,12,15,20232024,2,4,L,1,Golden Knights,VGK,2,0.530303,35,Vegas Golden Knights,77
,66,8,0.121212,222,230,3.484848,34,27,106,133,9,4,46,20,17,21,10,4,33,37,4,1,11,4,4,5,25,6,Tampa Bay,0.575758,0.484848,32,0.424242,28,32,-19,116,97,16,2,30,12,11,14,20232024,0,3,W,2,Lightning,TBL,1,0.530303,35,Tampa Bay Lightning,76
,67,-5,-0.074627,202,197,2.940299,34,-7,105,98,14,3,37,15,13,17,10,-9,36,27,5,1,9,4,4,4,25,8,Philadelphia,0.567164,0.447761,30,0.38806,26,33,2,97,99,11,5,39,15,13,17,20232024,3,4,L,1,Flyers,PHI,0,0.507463,34,Philadelphia Flyers,76
,67,-6,-0.089552,216,210,3.134328,34,1,108,109,12,4,40,15,13,18,10,4,25,29,3,1,13,6,5,6,27,7,Minnesota,0.544776,0.447761,30,0.38806,26,33,-7,108,101,15,3,33,15,13,15,20232024,2,3,W,3,Wild,MIN,3,0.492537,33,Minnesota Wild,73
,65,-16,-0.246154,213,197,3.030769,32,-4,103,99,8,9,39,15,11,15,10,6,26,32,4,0,12,6,5,6,22,14,NY,0.553846,0.430769,28,0.323077,21,33,-12,110,98,14,5,33,13,10,14,20232024,4,1,L,2,Islanders,NYI,2,0.446154,29,NY Islanders,72
,66,3,0.045455,222,225,3.409091,34,16,106,122,11,5,41,17,14,18,10,-13,42,29,7,0,6,3,2,3,27,6,Detroit,0.545455,0.469697,31,0.348485,23,32,-13,116,103,16,1,31,14,9,15,20232024,0,2,L,7,Red Wings,DET,3,0.5,33,Detroit Red Wings,72
,65,-31,-0.476923,205,174,2.676923,32,-4,94,90,10,5,39,15,13,17,10,-1,33,32,4,1,11,5,5,5,25,9,Washington,0.546154,0.430769,28,0.384615,25,33,-27,111,84,15,4,32,13,12,14,20232024,4,3,W,1,Capitals,WSH,4,0.476923,31,Washington Capitals,71
,66,-14,-0.212121,201,187,2.833333,31,11,90,101,11,1,39,18,16,19,10,-8,29,21,5,1,9,3,3,4,29,3,St. Louis,0.537879,0.469697,31,0.393939,26,35,-25,111,86,18,2,32,13,10,15,20232024,1,3,W,2,Blues,STL,4,0.515152,34,St. Louis Blues,71
,66,-7,-0.106061,213,206,3.121212,33,-5,102,97,15,1,35,17,13,17,10,-2,36,34,4,0,12,6,5,6,29,5,Calgary,0.522727,0.484848,32,0.409091,27,33,-2,111,109,14,4,34,15,14,15,20232024,4,0,W,1,Flames,CGY,5,0.484848,32,Calgary Flames,69
,67,2,0.029851,198,200,2.985075,35,6,98,104,17,1,35,15,13,17,10,9,25,34,3,1,13,4,3,6,30,5,Buffalo,0.514925,0.447761,30,0.38806,26,32,-4,100,96,13,4,34,15,13,15,20232024,1,2,W,3,Sabres,BUF,5,0.477612,32,Buffalo Sabres,69
,65,-7,-0.107692,186,179,2.753846,33,1,94,95,13,6,34,12,11,14,10,0,27,27,4,1,11,4,4,5,25,12,Seattle,0.523077,0.384615,25,0.338462,22,32,-8,92,84,12,6,34,13,11,14,20232024,4,3,L,1,Kraken,SEA,6,0.430769,28,Seattle Kraken,68
,66,-11,-0.166667,229,218,3.30303,34,-15,125,110,17,2,32,15,12,15,10,-1,33,32,6,0,8,4,4,4,30,4,New Jersey,0.515152,0.484848,32,0.409091,27,32,4,104,108,13,2,36,17,15,17,20232024,1,0,W,1,Devils,NJD,6,0.484848,32,New Jersey Devils,68
,65,-2,-0.030769,189,187,2.876923,33,5,91,96,12,4,38,16,15,17,10,-17,38,21,6,1,7,3,2,3,27,9,Pittsburgh,0.515385,0.415385,27,0.369231,24,32,-7,98,91,15,5,29,11,9,12,20232024,2,2,W,1,Penguins,PIT,7,0.446154,29,Pittsburgh Penguins,67
,66,-47,-0.712121,231,184,2.787879,34,-22,113,91,17,4,30,11,8,13,10,-5,30,25,4,3,9,3,2,3,30,11,Montreal,0.462121,0.318182,21,0.227273,15,32,-25,118,93,13,7,31,10,7,12,20232024,6,4,OT,1,Canadiens,MTL,8,0.378788,25,Montreal Canadiens,61
,67,-26,-0.38806,223,197,2.940299,32,-8,104,96,16,0,32,15,12,16,10,-4,35,31,6,0,8,4,4,4,35,5,Arizona,0.440299,0.373134,25,0.328358,22,35,-18,119,101,19,5,27,10,10,11,20232024,0,2,W,1,Coyotes,ARI,7,0.402985,27,Arizona Coyotes,59
,64,-18,-0.28125,223,205,3.203125,34,1,116,117,14,2,38,16,12,18,10,-10,33,23,6,1,7,1,0,3,33,4,Ottawa,0.453125,0.375,24,0.296875,19,30,-19,107,88,19,2,20,8,7,9,20232024,0,3,W,2,Senators,OTT,9,0.421875,27,Ottawa Senators,58
,66,-44,-0.666667,238,194,2.939394,34,-18,116,98,17,5,29,11,10,12,10,-2,30,28,5,1,9,4,4,4,33,11,Columbus,0.416667,0.30303,20,0.257576,17,32,-26,122,96,16,6,26,9,7,10,20232024,2,2,OT,1,Blue Jackets,CBJ,10,0.333333,22,Columbus Blue Jackets,55
,67,-75,-1.119403,244,169,2.522388,34,-35,117,82,23,1,21,9,7,10,10,-21,41,20,7,0,6,3,3,3,41,3,Anaheim,0.365672,0.328358,22,0.253731,17,33,-40,127,87,18,2,28,13,10,13,20232024,1,1,L,5,Ducks,ANA,8,0.343284,23,Anaheim Ducks,49
,67,-95,-1.41791,240,145,2.164179,35,-24,110,86,18,4,30,12,9,13,10,-12,38,26,5,2,8,3,3,3,44,5,Chicago,0.30597,0.253731,17,0.19403,13,32,-71,130,59,26,1,11,5,4,5,20232024,1,1,L,1,Blackhawks,CHI,9,0.268657,18,Chicago Blackhawks,41
,65,-115,-1.769231,259,144,2.215385,32,-54,127,73,19,3,23,10,9,10,10,-20,48,28,7,2,4,1,1,1,42,7,San Jose,0.3,0.230769,15,0.184615,12,33,-61,132,71,23,4,16,5,3,6,20232024,5,1,L,2,Sharks,SJS,10,0.246154,16,San Jose Sharks,39
